,id,following_n,followed_n,following_list,followed_list,commit_n,locations,type_list,bio,public_repos,public_gists
52,10017618,5,5,"[1583873, 1783594, 20787612, 29403212, 29516629]","[20787612, 29403212, 29516629, 29523089, 30119417]",503,,User,Google Summer of Code 2018 @ FreeType,20,0
53,1004747,1,2,[719964],"[719964, 8359784]",889,,User,,7,1
54,1005502,1,4,[157128],"[1610158, 3604053, 7575668, 14991787]",552,"Seoul, Republic of Korea",User,,34,0
55,10062216,19,11,"[194400, 241138, 422119, 1148938, 1706326, 1820165, 1833474, 6161794, 8044760, 8215555, 12482837, 12493143, 16078690, 16527849, 17783461, 19427963, 20155374, 21244576, 27891411]","[12482837, 422119, 21244576, 20155374, 14976514, 13238619, 27580786, 27891411, 194400, 40327092, 17783461]",132,"Rome, Italy",User,"Software Developer and Computer Science student at La Sapienza University, in Rome.",12,1
56,100406,30,34,"[1329, 4271, 6259, 9564, 29336, 55660, 70812, 91915, 92839, 98936, 130836, 157258, 160614, 165131, 213769, 271027, 401372, 431208, 433195, 458712, 463581, 475874, 541778, 645192, 984532, 1267524, 1313874, 2002612, 3021052, 3157512]","[1329, 5287, 8268, 9564, 70812, 167620, 176519, 984532, 1203952, 1444123, 16464, 463904, 2002612, 1661708, 793, 463581, 3266245, 431208, 401372, 541778, 98936, 11073859, 271027, 130836, 1081919, 157258, 2095707, 18019703, 1313874, 3021052, 28760770, 3076393, 2359706, 4429957]",716,Typically the office.,User,,162,47
57,10009435,2,4,"[1458882, 8685269]","[1458882, 8685269, 11631278, 39188401]",126,"London, UK",User,,17,0
58,10068561,6,3,"[1026706, 3848973, 11816395, 12865784, 15102879, 16121820]","[16121820, 1026706, 6779107]",238,"Hangzhou, China",User,,57,0
59,10040690,2,2,"[150330, 216188]","[5995089, 848817]",167,,User,,27,0
60,1005509,0,2,[],"[185076, 926408]",209,,User,,6,0
61,10062233,0,1,[],[6834731],790,,User,,14,1
62,10047598,7,6,"[66577, 100155, 352556, 583598, 967132, 2178243, 5684695]","[6948067, 8242533, 26963418, 5684695, 29647799, 25314586]",253,"Minsk, Belarus",User,,18,1
63,1003070,0,6,[],"[2088071, 5497371, 17090373, 14135456, 1752423, 20385157]",202,,User,,27,3
64,1004074,27,6,"[4, 1377, 3018, 8901, 9736, 17031, 18690, 25433, 61024, 99604, 106187, 143488, 204768, 390863, 481662, 699840, 870154, 923971, 983918, 1048092, 1648392, 2622864, 2831771, 3598550, 4503741, 6783825, 8908922]","[5343732, 3811624, 8908922, 3076393, 11966842, 2227747]",196,"Dartmouth, MA",User,,9,2
65,10000800,0,6,[],"[9963882, 11464686, 12788955, 11903234, 6216097, 34165969]",886,,User,,2,0
66,10055212,9,7,"[193136, 613943, 1094080, 1911390, 2281088, 5952026, 8056274, 11255278, 15039914]","[25914204, 29455961, 25091299, 9830365, 24803072, 32831059, 13720484]",270,"Saigon, Vietnam",User,,23,3
67,10068564,2,4,"[8264702, 31942621]","[31942621, 12346841, 4356289, 6331244]",173,"Grand Rapids, MI",User,Applications Engineer at Steelcase. Main responsibilities: development and support of internal dealer facing applications that are critical for online business.,26,0
68,10075390,7,8,"[845425, 1550395, 2044088, 2490298, 2586258, 3744223, 11472767]","[13238289, 15833869, 844215, 9162722, 9318280, 9164121, 12005212, 9049396]",302,"New York, NY",User,,29,0
69,10009525,5,2,"[1506425, 5379711, 12527602, 19360394, 26804952]","[26804952, 12527602]",113,,User,,3,0
70,10040946,3,9,"[101971, 1588357, 14815269]","[33822303, 6207775, 34258784, 37177137, 5052616, 386710, 5468699, 12947845, 13234796]",542,SD,User,hello,26,0
71,100476,7,3,"[319, 630988, 997543, 1010554, 9346830, 11493206, 23744032]","[236886, 315584, 3076393]",843,"Socorro, NM",User,,57,3
72,10062446,0,1,[],[3011346],367,United States,User,,25,0
73,1000112,0,2,[],"[660405, 36482355]",866,,User,,20,0
74,10018185,2,1,"[14658, 382813]",[431924],381,,User,,21,0
75,10030971,5,2,"[1387843, 6835999, 9440039, 10443535, 15882704]","[10443535, 15882704]",411,,User,,18,1
